Name,Area,Price
                        Apartment Amstelveenseweg 224 3                            ,            1075 XT Amsterdam (Schinkelbuurt)        ,"                €2,950 per month            "
                        Apartment Willemsparkweg                            ,            1071 GN Amsterdam (Museumkwartier)        ,"                €5,400 per month            "
                        Apartment Jacob Catskade 52 3                            ,            1052 CB Amsterdam (Staatsliedenbuurt)        ,"                €2,650 per month            "
                        Apartment KNSM-laan 465                            ,            1019 LG Amsterdam (Oostelijk Havengebied)        ,"                €1,850 per month            "
                        Apartment Esplanade de Meer                            ,            1098 WN Amsterdam (Middenmeer)        ,"                €1,750 per month            "
                        House Adriënne Solserhof 2                            ,            1087 MT Amsterdam (IJburg Zuid)        ,"                €3,750 per month            "
                        Apartment Prinseneiland                            ,            1013 LL Amsterdam (Haarlemmerbuurt)        ,"                €2,850 per month            "
                        Apartment Kastanjeplein 182                            ,            1092 LC Amsterdam (Oosterparkbuurt)        ,"                €1,700 per month            "
                        House Marius Meijboomstraat 34                            ,            1087 LD Amsterdam (IJburg Zuid)        ,"                €1,500 per month            "
                        Studio Keizersgracht                            ,            1016 GB Amsterdam (Grachtengordel-West)        ,"                €1,120 per month            "
                        Apartment Willem Augustinstraat                            ,            1061 MJ Amsterdam (De Kolenkit)        ,"                €1,650 per month            "
                        Apartment Venetiëhof 67                            ,            1019 NB Amsterdam (Oostelijk Havengebied)        ,"                €2,400 per month            "
                        Apartment Insulindeweg 116                            ,            1094 PT Amsterdam (Indische Buurt West)        ,"                €1,850 per month            "
                        Apartment Prinsengracht 1069                            ,            1017 JG Amsterdam (Grachtengordel-Zuid)        ,"                €3,750 per month            "
                        Apartment Anna Blamansingel 111                            ,"            1102 ST Amsterdam (Bijlmer Centrum (D,F,H))        ","                €2,850 per month            "
                        Apartment Burgemeester Hogguerstraat 393 E                            ,            1064 CS Amsterdam (Slotermeer-Zuidwest)        ,"                €1,700 per month            "
                        Apartment Grote Bickersstraat 23 H                            ,            1013 KN Amsterdam (Haarlemmerbuurt)        ,"                €2,200 per month            "
                        Apartment Herengracht 132 E                            ,            1015 BV Amsterdam (Grachtengordel-West)        ,"                €7,500 per month            "
                        House Soetendaal                            ,            1081 BN Amsterdam (Buitenveldert-West)        ,"                €4,000 per month            "
                        Apartment Singel                            ,            1016 AA Amsterdam (Grachtengordel-West)        ,"                €1,750 per month            "
                        Apartment Gelrestraat                            ,            1079 MZ Amsterdam (Scheldebuurt)        ,"                €1,725 per month            "
                        Apartment Eef Kamerbeekstraat 302                            ,            1095 MP Amsterdam (Zeeburgereiland/Nieuwe Diep)        ,"                €2,750 per month            "
                        Apartment Keizersgracht                            ,            1017 EB Amsterdam (Grachtengordel-Zuid)        ,"                €2,450 per month            "
                        Apartment Keizersgracht                            ,            1017 EB Amsterdam (Grachtengordel-Zuid)        ,"                €2,950 per month            "
                        Apartment Keizersgracht                            ,            1017 EB Amsterdam (Grachtengordel-Zuid)        ,"                €2,750 per month            "
                        Apartment Bentinckstraat                            ,            1051 GD Amsterdam (Staatsliedenbuurt)        ,"                €1,750 per month            "
                        Apartment Maasstraat                            ,            1078 HK Amsterdam (Scheldebuurt)        ,"                €2,500 per month            "
                        Apartment Rapenburgerstraat                            ,            1011 MK Amsterdam (Nieuwmarkt/Lastage)        ,"                €2,600 per month            "
                        Apartment John Franklinstraat                            ,            1056 TA Amsterdam (Van Galenbuurt)        ,"                €1,400 per month            "
                        Apartment Ferguutstraat                            ,            1055 SZ Amsterdam (Erasmuspark)        ,"                €2,050 per month            "
                        Apartment Hofgeest 15                            ,"            1102 EA Amsterdam (Bijlmer Centrum (D,F,H))        ","                €1,450 per month            "
                        Apartment Zeeburgerkade 1204                            ,            1019 VK Amsterdam (Oostelijk Havengebied)        ,"                €2,300 per month            "
